x,y,vx,vy,ax,ay,next_x,next_y,next_vx,next_vy
576.000000,140.000000,-55.391754,0.000000,0.000000,0.000000,575.079102,140.166672,-55.253273,10.000001
575.079102,140.166672,-55.253273,10.000001,0.000000,0.000000,574.160522,140.499588,-55.115139,19.975002
574.160522,140.499588,-55.115139,19.975002,0.000000,0.000000,573.244263,140.998337,-54.977352,29.925064
573.244263,140.998337,-54.977352,29.925064,0.000000,0.000000,572.330261,141.662506,-54.839909,39.850254
572.330261,141.662506,-54.839909,39.850254,0.000000,0.000000,571.418518,142.491684,-54.702808,49.750629
571.418518,142.491684,-54.702808,49.750629,0.000000,0.000000,570.509094,143.485458,-54.566051,59.626251
570.509094,143.485458,-54.566051,59.626251,0.000000,0.000000,569.601929,144.643417,-54.429638,69.477188
569.601929,144.643417,-54.429638,69.477188,0.000000,0.000000,568.697021,145.965149,-54.293564,79.303497
568.697021,145.965149,-54.293564,79.303497,0.000000,0.000000,567.794373,147.450241,-54.157829,89.105240
567.794373,147.450241,-54.157829,89.105240,0.000000,0.000000,566.893982,149.098282,-54.022434,98.882477
566.893982,149.098282,-54.022434,98.882477,0.000000,0.000000,565.995850,150.908875,-53.887379,108.635269
565.995850,150.908875,-53.887379,108.635269,0.000000,0.000000,565.099976,152.881607,-53.752659,118.363678
565.099976,152.881607,-53.752659,118.363678,0.000000,0.000000,564.206360,155.016068,-53.618279,128.067780
564.206360,155.016068,-53.618279,128.067780,0.000000,0.000000,563.314941,157.311859,-53.484234,137.747620
563.314941,157.311859,-53.484234,137.747620,0.000000,0.000000,562.425781,159.768585,-53.350525,147.403244
562.425781,159.768585,-53.350525,147.403244,0.000000,0.000000,561.538818,162.385834,-53.217148,157.034729
561.538818,162.385834,-53.217148,157.034729,0.000000,0.000000,560.654053,165.163208,-53.084106,166.642136
560.654053,165.163208,-53.084106,166.642136,0.000000,0.000000,559.771545,168.100296,-52.951397,176.225525
559.771545,168.100296,-52.951397,176.225525,0.000000,0.000000,558.891235,171.196716,-52.819019,185.784958
558.891235,171.196716,-52.819019,185.784958,0.000000,0.000000,558.013123,174.452057,-52.686974,195.320496
558.013123,174.452057,-52.686974,195.320496,0.000000,0.000000,557.137207,177.865921,-52.555256,204.832199
557.137207,177.865921,-52.555256,204.832199,0.000000,0.000000,556.263489,181.437927,-52.423866,214.320114
556.263489,181.437927,-52.423866,214.320114,0.000000,0.000000,555.391968,185.167664,-52.292809,223.784317
555.391968,185.167664,-52.292809,223.784317,0.000000,0.000000,554.522583,189.054749,-52.162075,233.224854
554.522583,189.054749,-52.162075,233.224854,0.000000,0.000000,553.655396,193.098785,-52.031670,242.641785
553.655396,193.098785,-52.031670,242.641785,0.000000,0.000000,552.790344,197.299377,-51.901592,252.035187
552.790344,197.299377,-51.901592,252.035187,0.000000,0.000000,551.927490,201.656128,-51.771839,261.405121
551.927490,201.656128,-51.771839,261.405121,0.000000,0.000000,551.066772,206.168655,-51.642410,270.751617
551.066772,206.168655,-51.642410,270.751617,0.000000,0.000000,550.208191,210.836563,-51.513306,280.074738
550.208191,210.836563,-51.513306,280.074738,0.000000,0.000000,549.351807,215.659470,-51.384521,289.374542
549.351807,215.659470,-51.384521,289.374542,0.000000,0.000000,548.497559,220.636993,-51.256062,298.651093
548.497559,220.636993,-51.256062,298.651093,0.000000,0.000000,547.645447,225.768738,-51.127922,307.904480
547.645447,225.768738,-51.127922,307.904480,0.000000,0.000000,546.795471,231.054321,-51.000103,317.134705
546.795471,231.054321,-51.000103,317.134705,0.000000,0.000000,545.947571,236.493347,-50.872604,326.341858
545.947571,236.493347,-50.872604,326.341858,0.000000,0.000000,545.101807,242.085449,-50.745422,335.526001
